,city,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
0,Kapaa,22.08,-159.32,23.0,78,75,2.6
1,Osypenko,46.91,36.83,7.78,100,0,3.13
2,Imbituba,-28.24,-48.67,17.0,63,1,1.0
3,Busselton,-33.65,115.33,25.56,36,39,5.58
4,Bac Lieu,9.29,105.72,31.12,58,37,5.48
5,Chui,-33.7,-53.46,14.2,87,2,1.61
6,Albany,42.6,-73.97,0.0,68,1,1.12
7,Khatanga,71.97,102.5,-0.82,93,100,13.17
8,Przasnysz,53.02,20.88,15.0,30,96,3.6
9,Khāsh,28.22,61.22,27.3,11,100,5.69
10,Barrow,71.29,-156.79,-3.0,92,90,7.2
11,Upernavik,72.79,-56.15,-4.73,86,100,3.43
12,Moranbah,-22.0,148.05,25.37,29,0,4.75
13,Carnarvon,-24.87,113.63,30.0,70,31,7.7
14,Punta Arenas,-53.15,-70.92,5.0,93,20,6.2
15,Severo-Kuril'sk,50.68,156.12,-1.71,93,70,1.99
16,Mahébourg,-20.41,57.7,29.0,66,40,8.7
17,Cidreira,-30.18,-50.21,16.77,75,13,1.74
18,Hamilton,39.18,-84.53,10.0,93,90,1.5
19,Alice Springs,-23.7,133.88,31.0,14,96,3.6
20,Fairbanks,64.84,-147.72,1.67,73,40,1.07
21,Hithadhoo,-0.6,73.08,29.65,67,40,4.06
22,Dillon,34.42,-79.37,11.0,100,1,2.52
23,Belaya Gora,68.53,146.42,-2.78,97,90,2.89
24,Yellowknife,62.46,-114.35,-15.0,65,5,3.6
25,Dikson,73.51,80.55,-6.16,96,100,6.67
26,Nyzhnya Duvanka,49.58,38.17,7.53,51,0,7.34
27,Rikitea,-23.12,-134.97,25.69,81,45,5.22
28,Kuching,1.55,110.33,32.0,66,40,3.1
29,Hobart,-42.88,147.33,15.0,58,75,7.7
30,Port Alfred,-33.59,26.89,24.44,52,96,3.13
31,Prieska,-29.66,22.75,23.16,20,24,6.31
32,Bud,39.45,-86.18,11.11,66,90,4.6
33,Puerto Ayora,-0.74,-90.35,25.56,90,13,0.45
34,Bluff,-46.6,168.33,16.11,80,98,2.24
35,Geraldton,-28.77,114.6,27.0,74,40,6.7
36,Malanje,-9.54,16.34,21.87,65,99,1.57
37,Tuktoyaktuk,69.45,-133.04,-12.2,94,87,5.27
38,Chokurdakh,70.63,147.92,-9.55,96,40,4.8
39,Rawson,-43.3,-65.1,11.75,41,0,4.12
40,Ushuaia,-54.8,-68.3,5.0,85,75,4.1
41,Castlemaine,-37.07,144.22,15.56,42,100,3.42
42,Nizhnevartovsk,60.93,76.55,11.0,97,100,3.0
43,Samarai,-10.62,150.67,26.31,69,28,2.8
44,Jamestown,42.1,-79.24,8.33,64,1,3.1
45,Pueblo,38.25,-104.61,14.0,22,1,11.8
46,Koutiala,12.39,-5.46,32.03,35,58,2.98
47,Bredasdorp,-34.53,20.04,21.0,49,1,11.8
48,Vaini,-21.2,-175.2,23.0,83,20,2.1
49,Codrington,-38.27,141.97,12.27,71,100,3.24
50,The Valley,18.22,-63.06,27.0,78,40,3.1
51,Kirakira,-10.45,161.92,27.76,79,99,2.42
52,Lázaro Cárdenas,17.96,-102.2,22.24,87,22,1.95
53,Sena Madureira,-9.07,-68.66,22.37,88,90,0.46
54,Thunder Bay,48.4,-89.32,-0.56,68,40,2.1
55,Tosya,41.02,34.04,10.29,29,0,2.15
56,Hilo,19.73,-155.09,24.0,73,90,1.5
57,Missoula,47.02,-113.8,-2.0,54,90,5.7
58,Mar del Plata,-38.0,-57.56,13.33,100,95,2.6
59,Mitú,1.2,-70.17,22.11,92,98,0.45
60,Fort Nelson,58.81,-122.7,-3.0,58,90,1.0
61,Cotonou,6.37,2.42,29.0,83,40,0.5
62,Provideniya,64.38,-173.3,-2.1,97,100,2.01
63,Ribeira Grande,38.52,-28.7,14.0,82,20,3.6
64,Skowhegan,44.77,-69.72,0.0,84,0,1.34
65,Plyussa,58.43,29.37,6.84,58,100,4.66
66,Port Elizabeth,-33.92,25.57,22.0,53,20,3.1
67,Avarua,-21.21,-159.78,26.0,94,97,0.91
68,Troitskoye,52.98,84.68,9.16,54,0,3.17
69,Saint-Pierre,-21.34,55.48,27.0,78,23,10.8
70,Hermanus,-34.42,19.23,18.89,71,47,6.71
71,Tondano,1.3,124.91,31.0,62,20,4.6
72,Sinnamary,5.38,-52.95,26.28,77,100,6.19
73,Kununurra,-15.77,128.73,34.0,44,40,2.6
74,Umluj,25.02,37.27,25.84,32,1,5.25
75,Tuatapere,-46.13,167.68,16.11,80,99,2.24
76,Coquimbo,-29.95,-71.34,13.0,87,78,2.1
77,Thompson,55.74,-97.86,-13.0,78,90,3.6
78,Bagdarin,54.43,113.6,8.52,36,99,3.78
79,Oktyabr'skoye,43.06,44.74,6.0,81,90,6.0
80,Lüderitz,-26.65,15.16,19.0,59,0,6.2
81,Noumea,-22.28,166.46,23.0,94,60,1.5
82,Dingle,11.0,122.67,29.33,65,57,2.85
83,Mackay,-21.15,149.2,28.0,65,31,4.6
84,Portland,45.52,-122.68,10.0,53,1,1.5
85,Pionerskiy,54.95,20.23,10.0,34,100,6.0
86,San Patricio,19.22,-104.7,23.06,62,73,2.71
87,Xihe,31.69,113.47,21.05,32,0,3.81
88,Giyani,-23.3,30.72,33.66,20,0,1.55
89,North Bend,43.41,-124.22,8.0,75,90,3.1
90,Derzhavīnsk,51.1,66.32,14.22,33,0,6.53
91,Arraial do Cabo,-22.97,-42.03,22.76,68,99,1.52
92,Nikolskoye,59.7,30.79,4.0,55,99,3.0
93,Sokoni,-6.43,39.55,26.13,89,100,5.77
94,Atuona,-9.8,-139.03,27.89,68,19,2.61
95,Mataura,-46.19,168.86,16.11,80,97,2.24
96,Neuquén,-38.95,-68.06,12.0,66,55,1.0
97,Russell,32.35,-85.2,13.0,81,1,1.5
98,Lavrentiya,65.58,-171.0,-1.55,98,100,3.56
99,Pisco,-13.7,-76.22,21.0,88,40,4.1
100,Faanui,-16.48,-151.75,27.95,74,100,5.82
101,Yumen,40.28,97.2,18.38,10,17,2.54
102,Avera,33.19,-82.53,13.0,93,1,1.5
103,Stranda,62.31,6.94,6.0,93,100,6.7
104,Qaanaaq,77.48,-69.36,-9.98,74,100,2.74
105,Kavieng,-2.57,150.8,29.51,71,100,2.71
106,Saint-Philippe,-21.36,55.77,27.0,78,30,10.8
107,Quatre Cocos,-20.21,57.76,29.0,66,40,8.7
108,Medveda,56.51,92.41,9.0,31,0,7.0
109,Narsaq,60.92,-46.05,4.0,41,100,29.8
110,Mogadishu,2.04,45.34,32.0,59,75,5.7
111,Ladário,-19.0,-57.6,19.5,67,0,0.19
112,Saskylakh,71.92,114.08,-6.96,94,99,7.23
113,Brylivka,46.42,33.15,8.89,42,1,1.79
114,Nelson Bay,-32.72,152.15,18.0,55,0,3.6
115,Plettenberg Bay,-34.05,23.37,22.37,57,96,10.07
116,Gaspar,-26.93,-48.96,16.67,96,46,0.93
117,Laguna,38.42,-121.42,12.22,87,1,4.1
118,Barra de Tecoanapa,16.52,-98.75,23.26,78,9,1.05
119,Severomuysk,56.15,113.43,-3.75,63,100,3.79
120,Raja,8.46,25.68,33.92,10,99,2.88
121,Sitka,57.05,-135.33,2.0,69,40,1.25
122,Syracuse,37.09,15.28,17.22,67,1,1.0
123,Quarteira,37.07,-8.1,15.0,87,40,2.6
